AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
"NEW EXPLORATIONS SCI, TECH & MATH",0.61,38.54,16.23,40.97,48.68,0.0,96.96,18.26,0.0,51.32,0.0,0.41,59.03,100.0,100.0,3.04,25.96,97.57,310100011539,31,NEW YORK,2015,,,,,,
NEW EXPLORERS HIGH SCHOOL,0.99,0.25,30.54,85.47,40.39,4.68,71.92,67.49,10.84,59.61,0.0,0.0,14.53,89.16,100.0,28.08,0.74,58.13,320700011547,32,BRONX,2015,,,,,,
NEW HARTFORD SENIOR HIGH SCHOOL,0.0,6.36,2.24,9.89,51.83,0.59,93.52,2.94,0.12,48.17,0.0,1.41,90.11,99.88,100.0,6.48,87.04,99.06,411501060001,41,ONEIDA,2015,,,,,,
NEW HEIGHTS ACADEMY CHARTER SCHOOL,0.0,0.0,10.36,90.0,53.21,7.14,83.93,89.64,2.86,46.79,0.0,0.0,10.0,97.14,100.0,16.07,0.0,92.14,310600860887,31,NEW YORK,2015,,,,,,
NEW HYDE PARK MEMORIAL HIGH SCHOOL,0.0,42.18,3.91,14.25,49.43,0.65,91.61,12.87,0.9,50.57,0.0,0.0,85.75,99.1,100.0,8.39,41.04,95.85,280252070005,28,NASSAU,2015,,,,,,
NEW LEBANON JUNIOR-SENIOR HIGH SCH,0.0,2.33,4.65,29.65,47.09,0.0,90.7,2.33,0.0,52.91,0.0,0.0,70.35,100.0,100.0,9.3,90.7,91.28,101601040003,10,COLUMBIA,2015,,,,,,
NEW PALTZ SENIOR HIGH SCHOOL,0.0,3.01,6.56,18.58,48.63,0.0,86.89,9.56,0.27,51.37,0.14,0.82,81.42,99.73,99.86,13.11,80.05,95.9,621101060005,62,ULSTER,2015,,,,,,
NEW ROCHELLE HIGH SCHOOL,0.09,3.96,27.14,40.6,49.23,1.85,88.48,38.42,4.11,50.77,0.0,0.33,59.4,95.89,100.0,11.52,30.06,84.7,661100010016,66,WESTCHESTER,2015,,,,,,
NEW ROOTS CHARTER SCHOOL,0.0,2.44,5.85,49.27,57.56,0.0,82.44,1.95,0.49,42.44,0.0,6.83,50.73,99.51,100.0,17.56,82.93,69.76,610600860944,61,TOMPKINS,2015,,,,,,
NEW UTRECHT HIGH SCHOOL,0.06,39.39,4.33,70.04,42.14,7.52,84.34,25.64,17.18,57.86,0.0,0.1,29.96,82.82,100.0,15.66,30.48,74.27,332000011445,33,KINGS,2015,,,,,,
NEW VISIONS CHARTER HS-ADV MATH/SCIE,0.0,1.71,44.02,81.2,52.99,2.56,88.89,54.27,1.28,47.01,0.0,0.0,18.8,98.72,100.0,11.11,0.0,88.89,321000860999,32,BRONX,2015,,,,,,
NEW VISIONS CHARTER HS-HUMANITIES,0.93,1.4,31.78,70.56,62.62,4.67,82.24,62.15,11.21,37.38,0.0,1.87,29.44,88.79,100.0,17.76,1.87,67.29,321000860704,32,BRONX,2015,,,,,,
NEW VISIONS CHARTER HS-HUMANITIES II,0.0,0.0,22.22,83.33,50.0,11.11,100.0,77.78,5.56,50.0,0.0,0.0,16.67,94.44,100.0,0.0,0.0,0.0,320700861018,32,BRONX,2015,,,,,,
NEW VISIONS CHTR HS-ADV MA/SCI III,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,332200861053,33,KINGS,2015,,,,,,
NEW WORLD HIGH SCHOOL,1.28,12.78,9.58,92.97,50.8,30.03,98.08,71.88,48.24,49.2,0.0,0.0,7.03,51.76,100.0,1.92,4.47,86.9,321100011513,32,BRONX,2015,,,,,,
NEWARK SENIOR HIGH SCHOOL,0.0,0.79,7.94,47.46,47.62,0.79,87.62,10.63,0.79,52.38,0.63,2.7,52.54,99.21,99.37,12.38,77.94,88.73,650101060006,65,WAYNE,2015,,,,,,
NEWARK VALLEY SENIOR HIGH SCHOOL,0.0,0.74,0.0,41.09,52.48,0.0,89.36,0.99,0.0,47.52,0.0,0.99,58.91,100.0,100.0,10.64,97.28,93.07,600402040004,60,TIOGA,2015,,,,,,
NEWBURGH FREE ACADEMY-MAIN CAMPUS,0.09,2.1,27.08,62.74,49.46,1.3,89.54,41.32,4.43,50.54,0.09,0.56,37.26,95.57,99.91,10.46,28.85,77.93,441600010017,44,ORANGE,2015,,,,,,
NEWBURGH PREP CHARTER HIGH SCHOOL,0.0,1.08,49.46,97.85,59.14,2.15,78.49,29.03,0.0,40.86,0.0,0.0,2.15,100.0,100.0,21.51,20.43,27.96,441600861060,44,ORANGE,2015,,,,,,
NEWCOMB CENTRAL SCHOOL,0.0,0.0,0.0,29.63,74.07,0.0,100.0,0.0,0.0,25.93,0.0,7.41,70.37,100.0,100.0,0.0,92.59,92.59,151001040001,15,ESSEX,2015,,,,,,
NEWCOMERS HIGH SCHOOL,0.09,48.88,4.46,85.78,47.21,19.24,99.44,42.1,75.84,52.79,0.0,0.0,14.22,24.16,100.0,0.56,4.46,72.4,343000011555,34,QUEENS,2015,,,,,,
NEWFANE SENIOR HIGH SCHOOL,0.0,0.35,1.06,28.52,51.06,0.0,88.03,1.06,0.0,48.94,0.0,0.35,71.48,100.0,100.0,11.97,97.18,92.78,400601060006,40,NIAGARA,2015,,,,,,
NEWFIELD HIGH SCHOOL,0.06,5.72,5.66,23.38,49.37,0.89,91.12,14.19,1.79,50.63,0.0,0.42,76.62,98.21,100.0,8.88,73.94,92.25,580211060010,58,SUFFOLK,2015,,,,,,
NEWFIELD SENIOR HIGH SCHOOL,0.0,0.0,7.76,47.76,51.84,0.0,82.04,0.0,0.0,48.16,0.0,0.0,52.24,100.0,100.0,17.96,92.24,90.61,610901040003,61,TOMPKINS,2015,,,,,,
NEWTOWN HIGH SCHOOL,0.31,29.19,8.27,64.93,43.52,6.86,89.47,57.45,30.47,56.48,0.0,0.44,35.07,69.53,100.0,10.53,4.33,64.35,342400011455,34,QUEENS,2015,,,,,,
NIAGARA FALLS HIGH SCHOOL,2.78,1.74,37.39,50.26,51.63,0.19,84.58,3.91,0.57,48.37,0.0,1.84,49.74,99.43,100.0,15.42,52.33,71.52,400800010034,40,NIAGARA,2015,,,,,,
NIAGARA-WHEATFIELD SR HIGH SCHOOL,7.4,1.87,3.17,25.47,45.48,0.24,90.15,1.3,0.16,54.52,0.0,0.9,74.53,99.84,100.0,9.85,85.35,92.27,400701060010,40,NIAGARA,2015,,,,,,
NINTH GRADE ACADEMY,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0,261701060009,26,MONROE,2015,,,,,,
NISKAYUNA HIGH SCHOOL,0.07,10.43,4.57,8.04,50.22,0.14,93.48,1.74,0.0,49.78,0.0,0.58,91.96,100.0,100.0,6.52,82.61,94.57,530301060007,53,SCHENECTADY,2015,,,,,,
NORTH BABYLON HIGH SCHOOL,0.26,3.94,24.63,33.35,49.64,1.23,84.16,17.91,2.33,50.36,0.0,0.52,66.65,97.67,100.0,15.84,52.75,91.47,580103030008,58,SUFFOLK,2015,,,,,,
NORTH COLLINS JUNIOR-SENIOR HS,1.62,0.0,2.7,32.43,55.14,0.0,84.86,4.32,1.08,44.86,1.08,0.0,67.57,98.92,98.92,15.14,91.35,97.84,142201040001,14,ERIE,2015,,,,,,
NORTH QUEENS COMMUNITY HIGH SCHOOL,0.54,12.23,32.61,67.39,56.79,0.82,81.25,38.59,1.9,43.21,0.0,0.0,32.61,98.1,100.0,18.75,16.03,31.25,342500011792,34,QUEENS,2015,,,,,,
NORTH ROCKLAND HIGH SCHOOL,0.23,3.24,13.95,39.96,49.34,3.36,88.12,43.44,5.7,50.66,0.0,0.31,60.04,94.3,100.0,11.88,38.83,85.23,500201060009,50,ROCKLAND,2015,,,,,,
NORTH ROSE-WOLCOTT HIGH SCHOOL,0.0,0.0,0.94,53.76,51.64,0.0,87.56,4.69,0.0,48.36,0.0,1.64,46.24,100.0,100.0,12.44,92.72,88.73,651501060005,65,WAYNE,2015,,,,,,
NORTH SALEM MIDDLE/ HIGH SCHOOL,0.25,1.51,0.76,6.05,51.64,0.5,90.18,8.06,0.25,48.36,0.0,2.02,93.95,99.75,100.0,9.82,87.41,99.75,661301040003,66,WESTCHESTER,2015,,,,,,
NORTH SHORE SENIOR HIGH SCHOOL,0.0,5.13,0.56,6.91,54.52,0.78,89.86,6.58,0.56,45.48,0.0,0.45,93.09,99.44,100.0,10.14,87.29,98.22,280501060004,28,NASSAU,2015,,,,,,
NORTH SYRACUSE JUNIOR HIGH SCHOOL,0.0,0.0,9.09,63.64,45.45,0.0,72.73,0.0,0.0,54.55,0.0,0.0,36.36,100.0,100.0,27.27,90.91,0.0,420303060010,42,ONONDAGA,2015,,,,,,
NORTH TONAWANDA HIGH SCHOOL,1.34,0.59,1.59,27.28,43.93,0.08,84.52,2.09,0.42,56.07,0.0,0.42,72.72,99.58,100.0,15.48,93.97,85.36,400900010011,40,NIAGARA,2015,,,,,,
NORTH WARREN CENTRAL SCHOOL,1.32,0.0,0.0,45.7,49.01,0.0,84.11,0.66,0.0,50.99,0.0,0.0,54.3,100.0,100.0,15.89,98.01,85.43,630202040001,63,WARREN,2015,,,,,,
NORTHEAST COLLEGE PREP HIGH SCHOOL,0.0,0.41,67.01,77.66,51.84,1.02,72.13,21.93,5.12,48.16,0.0,0.0,22.34,94.88,100.0,27.87,10.66,39.75,261600010073,26,MONROE,2015,,,,,,
NORTHEASTERN CLINTON SR HIGH SCHOOL,0.0,0.0,0.85,43.4,49.36,0.0,83.19,2.13,0.0,50.64,0.21,0.43,56.6,100.0,99.79,16.81,96.6,89.79,90501040002,9,CLINTON,2015,,,,,,
NORTHERN ADIRONDACK MID/HIGH SCH,0.0,2.21,0.0,49.45,46.49,0.0,90.04,0.0,0.0,53.51,0.0,0.37,50.55,100.0,100.0,9.96,97.42,83.03,90901040002,9,CLINTON,2015,,,,,,
NORTHPORT SENIOR HIGH SCHOOL,0.24,3.86,0.58,8.41,48.6,0.19,90.34,4.35,0.34,51.4,0.0,0.29,91.59,99.66,100.0,9.66,90.68,97.0,580404030009,58,SUFFOLK,2015,,,,,,
NORTHSIDE CHARTER HIGH SCHOOL,2.14,1.6,29.68,81.02,49.2,1.6,87.97,61.76,5.61,50.8,0.0,0.0,18.98,94.39,100.0,12.03,4.81,86.36,331400860945,33,KINGS,2015,,,,,,
NORTHVILLE HIGH SCHOOL,1.69,0.56,0.0,58.76,41.81,0.0,87.57,0.56,0.0,58.19,0.0,0.0,41.24,100.0,100.0,12.43,97.18,85.88,170901040001,17,FULTON,2015,,,,,,
NORTHWEST COLLEGE PREP HIGH SCHOOL,0.85,2.54,71.19,72.03,54.24,0.85,75.42,13.56,3.39,45.76,0.0,0.0,27.97,96.61,100.0,24.58,11.86,56.78,261600010089,26,MONROE,2015,,,,,,
NORWICH HIGH SCHOOL,0.16,1.56,1.72,42.43,48.52,0.16,80.5,2.96,0.16,51.48,0.62,0.16,57.57,99.84,99.38,19.5,93.45,85.96,81200050004,8,CHENANGO,2015,,,,,,
NORWOOD-NORFOLK SCHOOL,1.76,0.44,2.2,41.85,41.85,0.0,85.9,0.44,0.0,58.15,0.44,0.44,58.15,100.0,99.56,14.1,94.71,88.11,512201040001,51,SAINT LAWRENCE,2015,,,,,,
NOTTINGHAM HIGH SCHOOL,0.25,10.17,56.11,67.02,49.14,3.2,82.36,7.71,15.01,50.86,0.08,0.98,32.98,84.99,99.92,17.64,24.77,63.33,421800010039,42,ONONDAGA,2015,,,,,,
NY MILLS JUNIOR-SENIOR HIGH SCHOOL,0.57,1.71,2.29,24.0,44.0,0.0,92.0,2.86,0.0,56.0,0.0,0.0,76.0,100.0,100.0,8.0,92.57,91.43,411504020001,41,ONEIDA,2015,,,,,,
NYACK SENIOR HIGH SCHOOL,0.11,8.65,22.16,20.97,49.95,1.51,91.14,16.86,3.68,50.05,0.0,1.95,79.03,96.32,100.0,8.86,50.27,87.57,500304030006,50,ROCKLAND,2015,,,,,,
NYC CHARTER HS - AECI,0.0,0.0,38.33,86.74,39.77,4.61,85.01,61.67,8.65,60.23,0.0,0.0,13.26,91.35,100.0,14.99,0.0,87.03,320700860926,32,BRONX,2015,,,,,,
NYC ISCHOOL,0.0,14.07,20.72,48.34,52.69,0.51,91.05,39.9,0.26,47.31,0.0,0.51,51.66,99.74,100.0,8.95,24.81,98.21,310200011376,31,NEW YORK,2015,,,,,,
NYC LAB HS-COLLABORATIVE STUDIES,0.17,30.4,9.15,39.55,53.71,0.86,86.7,13.64,0.52,46.29,0.0,1.73,60.45,99.48,100.0,13.3,44.91,97.06,310200010412,31,NEW YORK,2015,,,,,,
NYC MUSEUM SCHOOL,0.0,32.73,10.16,72.01,54.18,0.0,91.2,40.18,0.23,45.82,0.0,0.0,27.99,99.77,100.0,8.8,16.93,99.32,310200010414,31,NEW YORK,2015,,,,,,
OAKFIELD-ALABAMA MIDDLE/HIGH SCHOOL,0.41,0.0,0.0,38.78,57.55,0.0,92.65,2.45,0.0,42.45,0.0,2.04,61.22,100.0,100.0,7.35,95.1,93.88,181101040001,18,GENESEE,2015,,,,,,
ODESSA-MONTOUR JR/SR HIGH SCHOOL,0.4,0.0,2.41,46.59,52.21,0.0,90.36,1.61,0.0,47.79,0.0,0.8,53.41,100.0,100.0,9.64,94.78,91.57,550101040003,55,SCHUYLER,2015,,,,,,
ODYSSEY ACADEMY,0.0,3.21,11.24,27.71,47.59,0.6,89.16,6.83,2.81,52.41,0.0,1.0,72.29,97.19,100.0,10.84,77.71,93.17,260501060013,26,MONROE,2015,,,,,,
OGDENSBURG FREE ACADEMY,0.0,1.45,2.07,55.49,46.17,0.0,83.23,0.0,0.0,53.83,0.21,0.0,44.51,100.0,99.79,16.77,96.48,83.02,512300010009,51,SAINT LAWRENCE,2015,,,,,,
OLEAN SENIOR HIGH SCHOOL,1.93,2.25,6.42,36.76,49.28,0.16,88.28,0.96,0.0,50.72,0.0,1.77,63.24,100.0,100.0,11.72,86.68,83.63,42400010013,4,CATTARAUGUS,2015,,,,,,
OLYMPIA HIGH SCHOOL,0.32,4.24,17.29,55.14,49.1,1.48,86.96,9.65,1.91,50.9,0.0,1.17,44.86,98.09,100.0,13.04,67.34,85.79,260501060008,26,MONROE,2015,,,,,,
OLYMPUS ACADEMY,1.06,1.06,80.92,79.15,54.77,1.41,80.92,16.61,1.06,45.23,0.0,0.0,20.85,98.94,100.0,19.08,0.35,21.55,331800011635,33,KINGS,2015,,,,,,
ONEIDA SENIOR HIGH SCHOOL,3.2,1.46,2.04,36.68,48.47,0.29,86.9,0.73,0.0,51.53,0.0,1.02,63.32,100.0,100.0,13.1,91.56,81.95,251400010009,25,MADISON,2015,,,,,,
ONEONTA SENIOR HIGH SCHOOL,0.0,2.65,7.02,32.61,49.45,0.0,82.68,4.06,0.0,50.55,0.0,0.47,67.39,100.0,100.0,17.32,85.8,83.31,471400010002,47,OTSEGO,2015,,,,,,
ONONDAGA SENIOR HIGH SCHOOL,2.5,0.0,7.5,31.07,49.29,0.0,87.5,1.43,0.36,50.71,0.0,1.79,68.93,99.64,100.0,12.5,86.79,87.5,421201040003,42,ONONDAGA,2015,,,,,,
ONTEORA HIGH SCHOOL,0.6,2.22,2.82,40.12,47.98,0.0,82.66,5.24,0.4,52.02,0.0,1.81,59.88,99.6,100.0,17.34,87.3,91.53,621201060005,62,ULSTER,2015,,,,,,
OPPENHEIM-EPHRATAH-ST JOHNSVILLE HS,0.62,0.0,1.24,52.8,49.07,0.0,83.23,0.0,0.0,50.93,0.0,0.0,47.2,100.0,100.0,16.77,98.14,72.67,271201040004,27,MONTGOMERY,2015,,,,,,
OPPORTUNITY CHARTER SCHOOL,0.0,0.43,73.04,71.3,52.17,0.0,53.91,25.65,7.83,47.83,0.0,0.0,28.7,92.17,100.0,46.09,0.87,66.96,310300860871,31,NEW YORK,2015,,,,,,
ORACLE CHARTER SCHOOL,0.35,5.96,71.58,82.81,57.54,0.7,88.07,7.02,5.96,42.46,0.0,4.21,17.19,94.04,100.0,11.93,10.88,69.47,140600860868,14,ERIE,2015,,,,,,
ORCHARD PARK HIGH SCHOOL,0.27,1.26,1.06,7.64,51.16,0.13,92.69,0.93,0.0,48.84,0.0,0.13,92.36,100.0,100.0,7.31,96.35,98.01,142301060006,14,ERIE,2015,,,,,,
ORCHARD VIEW ALT HIGH SCHOOL,1.64,1.64,5.74,44.26,44.26,0.0,79.51,18.03,0.0,55.74,0.0,1.64,55.74,100.0,100.0,20.49,71.31,36.89,132101060016,13,DUTCHESS,2015,,,,,,
ORISKANY JUNIOR-SENIOR HIGH SCHOOL,0.0,1.03,1.03,26.29,54.64,0.0,87.63,2.06,0.0,45.36,0.0,1.55,73.71,100.0,100.0,12.37,94.33,96.91,412901040003,41,ONEIDA,2015,,,,,,
OSSINING HIGH SCHOOL,0.0,3.8,13.97,40.55,47.5,1.78,88.05,44.43,7.03,52.5,0.0,1.13,59.45,92.97,100.0,11.95,36.67,83.44,661401030007,66,WESTCHESTER,2015,,,,,,
OSWEGO HIGH SCHOOL,0.08,0.94,1.87,37.41,48.4,0.08,88.7,4.29,0.78,51.6,0.08,0.16,62.59,99.22,99.92,11.3,92.67,79.97,461300010008,46,OSWEGO,2015,,,,,,
OTSELIC VALLEY CENTRAL SCHOOL,0.82,0.0,3.28,48.36,48.36,0.0,83.61,3.28,0.0,51.64,0.0,0.0,51.64,100.0,100.0,16.39,92.62,92.62,81401040001,8,CHENANGO,2015,,,,,,
OWEGO FREE ACADEMY,0.0,0.94,1.88,40.5,49.61,0.0,85.4,1.73,0.0,50.39,0.0,0.47,59.5,100.0,100.0,14.6,94.98,89.17,600601060007,60,TIOGA,2015,,,,,,
OWEN D YOUNG CENTRAL SCHOOL,3.12,0.0,0.0,21.88,45.31,0.0,95.31,3.12,0.0,54.69,0.0,0.0,78.12,100.0,100.0,4.69,93.75,84.38,211701040001,21,HERKIMER,2015,,,,,,
OXFORD ACADEMY HIGH SCHOOL,0.83,0.0,0.83,56.25,56.25,0.0,82.08,3.33,0.0,43.75,1.25,0.0,43.75,100.0,98.75,17.92,95.0,84.58,81501040002,8,CHENANGO,2015,,,,,,
OYSTER BAY HIGH SCHOOL,0.19,2.68,5.93,18.36,47.8,0.57,89.1,14.72,1.72,52.2,0.0,0.0,81.64,98.28,100.0,10.9,76.48,93.88,280506060002,28,NASSAU,2015,,,,,,
PABLO NERUDA ACADEMY,0.59,5.29,24.41,70.88,35.29,3.53,74.71,67.94,16.47,64.71,0.0,0.0,29.12,83.53,100.0,25.29,1.76,62.94,320800011305,32,BRONX,2015,,,,,,
PACE HIGH SCHOOL,16.58,11.4,33.94,70.73,57.25,2.33,89.38,34.97,0.78,42.75,0.0,0.0,29.27,99.22,100.0,10.62,3.11,91.71,310200011298,31,NEW YORK,2015,,,,,,
PALISADE PREPARATORY SCHOOL,0.0,2.72,39.36,87.38,50.0,2.23,82.92,48.51,2.97,50.0,0.0,0.25,12.62,97.03,100.0,17.08,9.16,74.01,662300010056,66,WESTCHESTER,2015,,,,,,
PALMYRA-MACEDON SENIOR HIGH SCHOOL,0.32,1.13,0.81,33.06,47.1,0.32,90.16,1.77,0.16,52.9,0.16,2.26,66.94,99.84,99.84,9.84,93.71,90.65,650901060001,65,WAYNE,2015,,,,,,
PAN AMERICAN INTERNATIONAL HS,0.0,0.0,0.0,78.18,50.3,17.27,98.79,100.0,77.27,49.7,0.0,0.0,21.82,22.73,100.0,1.21,0.0,70.91,342400011296,34,QUEENS,2015,,,,,,
PAN AMERICAN INTERNATIONAL HS-MONROE,0.0,0.0,0.0,91.85,48.03,13.48,98.88,100.0,84.55,51.97,0.0,0.0,8.15,15.45,100.0,1.12,0.0,81.74,321200011388,32,BRONX,2015,,,,,,
PANAMA HIGH SCHOOL,0.0,0.0,0.0,31.28,46.67,0.0,87.18,4.1,0.0,53.33,0.0,4.1,68.72,100.0,100.0,12.82,91.79,98.46,61601040001,6,CHAUTAUQUA,2015,,,,,,
PARISHVILLE-HOPKINTON JR-SR HS,0.0,0.89,0.0,41.07,50.0,0.0,82.14,0.0,0.0,50.0,1.79,0.0,58.93,100.0,98.21,17.86,99.11,91.96,512501040004,51,SAINT LAWRENCE,2015,,,,,,
PARK EAST HIGH SCHOOL,0.56,5.87,32.96,89.66,54.75,1.4,86.87,60.61,1.4,45.25,0.0,0.0,10.34,98.6,100.0,13.13,0.0,93.02,310400011495,31,NEW YORK,2015,,,,,,
PARK SLOPE COLLEGIATE,0.46,9.72,31.48,77.31,44.91,2.78,86.11,50.0,12.04,55.09,0.0,0.93,22.69,87.96,100.0,13.89,7.41,67.59,331500011464,33,KINGS,2015,,,,,,
PATCHOGUE-MEDFORD HIGH SCHOOL,0.43,2.23,5.04,35.87,50.21,1.06,91.56,23.41,4.42,49.79,0.0,0.43,64.13,95.58,100.0,8.44,68.46,89.18,580224030008,58,SUFFOLK,2015,,,,,,
PATHWAYS COLLEGE PREPARATORY SCHOOL,0.0,4.71,91.58,68.01,47.14,0.34,87.54,3.37,2.36,52.86,0.0,0.0,31.99,97.64,100.0,12.46,0.34,78.11,342900011259,34,QUEENS,2015,,,,,,
PATHWAYS TECH EARLY COLLEGE HIGH SCH,0.0,7.22,76.29,68.04,29.9,1.03,85.57,16.49,0.0,70.1,0.0,0.0,31.96,100.0,100.0,14.43,0.0,65.46,331700011122,33,KINGS,2015,,,,,,
PAUL D SCHREIBER SENIO HIGH SCHOOL,0.07,12.03,2.3,14.46,51.35,2.24,92.97,16.63,2.89,48.65,0.0,0.33,85.54,97.11,100.0,7.03,68.64,97.63,280404030009,28,NASSAU,2015,,,,,,
PAUL J GELINAS JUNIOR HIGH SCHOOL,0.0,0.0,0.0,0.0,33.33,0.0,66.67,0.0,0.0,66.67,0.0,0.0,100.0,100.0,100.0,33.33,100.0,0.0,580201060009,58,SUFFOLK,2015,,,,,,
PAUL V MOORE HIGH SCHOOL,0.52,1.11,0.89,34.86,47.49,0.0,87.22,0.81,0.0,52.51,0.0,0.07,65.14,100.0,100.0,12.78,96.6,86.12,460801060005,46,OSWEGO,2015,,,,,,
PAVILION JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,1.26,39.92,42.44,0.0,86.13,0.84,0.0,57.56,0.0,0.84,60.08,100.0,100.0,13.87,97.06,97.9,181201040001,18,GENESEE,2015,,,,,,
PAWLING HIGH SCHOOL,0.0,1.23,2.45,14.71,50.25,0.49,88.73,9.31,1.72,49.75,0.0,0.49,85.29,98.28,100.0,11.27,86.52,97.06,131201040002,13,DUTCHESS,2015,,,,,,
PEACE AND DIVERSITY ACADEMY,0.81,0.0,47.97,82.11,55.28,1.22,73.58,50.0,17.07,44.72,0.0,0.81,17.89,82.93,100.0,26.42,0.41,37.8,321200011278,32,BRONX,2015,,,,,,
PEARL RIVER HIGH SCHOOL,0.37,4.36,1.25,6.35,50.56,0.0,89.04,6.35,0.87,49.44,0.0,0.0,93.65,99.13,100.0,10.96,87.67,97.88,500308030008,50,ROCKLAND,2015,,,,,,
PEEKSKILL HIGH SCHOOL,0.12,2.17,39.93,63.21,50.18,2.17,84.2,47.29,8.81,49.82,0.0,0.97,36.79,91.19,100.0,15.8,9.53,71.89,661500010009,66,WESTCHESTER,2015,,,,,,
PELHAM MEMORIAL HIGH SCHOOL,0.12,4.69,7.4,12.58,46.12,0.25,86.81,17.51,0.12,53.88,0.0,3.7,87.42,99.88,100.0,13.19,66.58,97.29,661601030005,66,WESTCHESTER,2015,,,,,,
PELHAM PREPARATORY ACADEMY,0.93,4.91,37.85,68.22,50.93,0.23,84.81,48.6,1.64,49.07,0.0,0.0,31.78,98.36,100.0,15.19,7.71,90.42,321100011542,32,BRONX,2015,,,,,,
PEMBROKE JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,1.27,24.13,55.24,0.0,90.79,0.63,0.0,44.76,0.0,2.54,75.87,100.0,100.0,9.21,95.56,94.92,181302040002,18,GENESEE,2015,,,,,,
PENFIELD SENIOR HIGH SCHOOL,0.21,3.9,3.83,12.93,48.5,0.14,90.01,4.31,0.21,51.5,0.0,0.96,87.07,99.79,100.0,9.99,86.8,97.26,261201060006,26,MONROE,2015,,,,,,
PENN YAN ACADEMY,0.0,0.18,0.35,41.75,51.05,0.18,87.02,2.63,1.23,48.95,1.23,0.7,58.25,98.77,98.77,12.98,96.14,85.61,680601060001,68,YATES,2015,,,,,,
PERF ARTS & TECH HIGH SCHOOL,0.47,0.47,80.0,81.41,47.53,1.18,81.41,18.59,4.0,52.47,0.0,0.24,18.59,96.0,100.0,18.59,0.24,68.47,331900011507,33,KINGS,2015,,,,,,
PERRY JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.38,40.23,50.38,0.0,90.23,2.63,0.0,49.62,0.0,3.01,59.77,100.0,100.0,9.77,93.98,88.72,671201060002,67,WYOMING,2015,,,,,,
PERU JR/SR HIGH SCHOOL,0.0,1.81,2.56,31.93,51.05,0.0,82.38,0.6,0.0,48.95,0.0,0.0,68.07,100.0,100.0,17.62,95.03,82.98,91101060005,9,CLINTON,2015,,,,,,
PIERSON MIDDLE/HIGH SCHOOL,0.65,0.97,1.62,8.77,49.35,0.65,85.39,12.99,2.6,50.65,0.0,0.0,91.23,97.4,100.0,14.61,83.77,89.94,580305020004,58,SUFFOLK,2015,,,,,,
PINE BUSH SENIOR HIGH SCHOOL,0.16,1.98,13.2,34.39,49.06,0.47,85.65,15.24,0.52,50.94,0.0,0.73,65.61,99.48,100.0,14.35,68.68,90.5,440401060005,44,ORANGE,2015,,,,,,
PINE HILL EDUCATION CENTER,1.25,0.0,41.25,77.5,48.75,0.0,63.75,0.0,0.0,51.25,0.0,1.25,22.5,100.0,100.0,36.25,56.25,61.25,140701060008,14,ERIE,2015,,,,,,
PINE VALLEY CENTRAL JR-SR HIGH SCH,2.19,0.0,0.0,34.43,48.09,0.0,91.8,0.55,0.0,51.91,0.0,0.55,65.57,100.0,100.0,8.2,96.72,89.07,60601040003,6,CHAUTAUQUA,2015,,,,,,
PIONEER SENIOR HIGH SCHOOL,0.92,0.66,0.79,44.04,50.59,0.0,88.07,1.31,0.0,49.41,0.0,0.0,55.96,100.0,100.0,11.93,96.33,89.38,43501060006,4,CATTARAUGUS,2015,,,,,,
PITTSFORD SUTHERLAND HIGH SCHOOL,0.0,9.1,3.07,4.95,50.35,0.2,90.31,3.76,0.3,49.65,0.0,1.78,95.05,99.7,100.0,9.69,82.29,98.81,261401060006,26,MONROE,2015,,,,,,
PITTSFORD-MENDON HIGH SCHOOL,0.0,8.9,2.1,1.6,47.6,0.0,92.2,3.0,0.0,52.4,0.0,1.9,98.4,100.0,100.0,7.8,84.1,98.7,261401060010,26,MONROE,2015,,,,,,
PLAINEDGE SENIOR HIGH SCHOOL,2.16,0.75,0.56,8.62,50.33,0.19,91.85,3.84,0.47,49.67,0.0,0.09,91.38,99.53,100.0,8.15,92.6,96.72,280518030009,28,NASSAU,2015,,,,,,
